Filename,Datetime (YYYYMMDDHHMMSS),Session,Minute,Category,Morph,,,,,,,,,
B015C0001_20210520102922_0021_t3.115.Still005.tif,20210520102922,1,21,A,2,,,,,,,,,
B015C0028_20210520112502_0014_t1.67.Still005.tif,20210520112502,8,14,A,9,,,,,,,,,
B015C0028_20210520112502_0018_t1.45.Still005.tif,20210520112502,8,18,A,17,,,,,,,,,
B015C0028_20210520112502_0019_t1.77.Still005.tif,20210520112502,8,19,A,9,,,,,,,,,
B006C0002_20210507120753_0017_t1.214.Still005.tif,20210507120753,2,17,B,12,,,,,,,,,
B006C0003_20210507123330_0011_t1.246.Still005.tif,20210507123330,3,11,B,1,,,,,,,,,
B006C0003_20210507123330_0016_t1.173.Still005.tif,20210507123330,3,16,B,10,,,,,,,,,
B006C0003_20210507123330_0016_t2.200.Still005.tif,20210507123330,3,16,B,undetermined,,,,,,,,,
B006C0003_20210507123330_0017_t1.97.Still005.tif,20210507123330,3,17,B,undetermined,,,,,,,,,
B006C0003_20210507123330_0017_t2.248.Still005.tif,20210507123330,3,17,B,undetermined,,,,,,,,,
B006C0003_20210507123330_0020_t1.196.Still005.tif,20210507123330,3,20,B,10,,,,,,,,,
B006C0003_20210507123330_0022_t1.171.Still005.tif,20210507123330,3,22,B,undetermined,,,,,,,,,
B006C0003_20210507123330_0022_t2.300.Still005.tif,20210507123330,3,22,B,undetermined,,,,,,,,,
B006C0003_20210507123330_0024_t1.317.Still005.tif,20210507123330,3,24,B,undetermined,,,,,,,,,
B006C0003_20210507123330_0025_t1.284.Still005.tif,20210507123330,3,25,B,undetermined,,,,,,,,,
B006C0003_20210507123330_0025_t2.246.Still005.tif,20210507123330,3,25,B,undetermined,,,,,,,,,
B006C0003_20210507123330_0026_t1.310.Still005.tif,20210507123330,3,26,B,undetermined,,,,,,,,,
B006C0003_20210507123330_0027_t1.138.Still005.tif,20210507123330,3,27,B,undetermined,,,,,,,,,
B006C0003_20210507123330_0029_t1.134.Still005.tif,20210507123330,3,29,B,undetermined,,,,,,,,,
B006C0003_20210507123330_0031_t1.194.Still005.tif,20210507123330,3,31,B,13,,,,,,,,,
B006C0003_20210507123330_0031_t2.289.Still005.tif,20210507123330,3,31,B,13,,,,,,,,,
B006C0003_20210507123330_0032_t1.254.Still005.tif,20210507123330,3,32,B,undetermined,,,,,,,,,
B006C0003_20210507123330_0033_t1.277.Still005.tif,20210507123330,3,33,B,undetermined,,,,,,,,,
B007C0001_20210510102106_0005_t1.285.Still005.tif,20210510102106,1,05,B,5,,,,,,,,,
B007C0001_20210510102106_0006_t1.214.Still005.tif,20210510102106,1,06,B,5,,,,,,,,,
B007C0001_20210510102106_0007_t1.164.Still005.tif,20210510102106,1,07,B,14,,,,,,,,,
B007C0001_20210510102106_0021_t1.18.Still005.tif,20210510102106,1,21,B,1,,,,,,,,,
